Beschouwd Jaar;Beroepsklasse;Leeftijdsklasse;Aantal validen;Verzekerde rente in euro's;Som uitkeringspercentage met ziektedatum in de eerste 9 maanden van jaar t
2007;3;26 tm 30;7785;64785374;5693
2007;3;31 tm 35;14601;184982638;10313
2007;3;36 tm 40;12972;214514138;14458
2007;3;41 tm 45;8401;210736966;12164
2007;3;46 tm 50;11966;153903276;14815
2007;3;51 tm 55;11282;137727862;21714
2007;3;56 tm 60;6052;69009915;6144
2007;3;61 tot 65;945;14427009;1804
2007;4;15 tm 25;2141;21914023;837
2007;4;26 tm 30;5101;65595079;4112
2007;4;31 tm 35;11844;151652592;9154
2007;4;36 tm 40;7610;151934839;10118
2007;4;41 tm 45;8221;118822751;5494
2007;4;46 tm 50;4989;72298750;7054
2007;4;51 tm 55;5787;63938680;7434
2007;4;56 tm 60;2083;25219989;6481
2007;4;61 tot 65;381;3738907;0
2007;5;15 tm 25;2374;29968995;2021
2007;5;26 tm 30;6409;84742603;9558
2007;5;31 tm 35;13010;156147094;19566
2007;5;36 tm 40;9493;138164079;16198
2007;5;41 tm 45;8011;102097206;11125
2007;5;46 tm 50;4752;64783986;10290
2007;5;51 tm 55;5520;64677388;8621
2007;5;56 tm 60;2121;36342249;3943
2007;5;61 tot 65;296;4649281;229
2007;6;15 tm 25;1108;14793840;766
2007;6;26 tm 30;7671;92303343;3671
2007;6;31 tm 35;14319;134077073;6784
2007;6;36 tm 40;11614;136685119;10324
2007;6;41 tm 45;8663;133549417;16322
2007;6;46 tm 50;10070;139720606;15837
2007;6;51 tm 55;8532;100944048;18523
2007;6;56 tm 60;5853;60707455;12422
2007;6;61 tot 65;1342;12521745;2114
2008;1;15 tm 25;745;8076613;624
2008;1;26 tm 30;3714;60798427;2116
2008;1;31 tm 35;7160;158330034;5847
2008;1;36 tm 40;11715;173810374;6709
2008;1;41 tm 45;9398;190008672;4720
2008;1;46 tm 50;7339;96298286;5488
2008;1;51 tm 55;3345;74647818;4433
2008;1;56 tm 60;1774;37774248;1750
2008;1;61 tot 65;361;6627730;1299
2008;2;15 tm 25;810;6111722;317
2008;2;26 tm 30;3008;34578221;2950
2008;2;31 tm 35;5972;126153938;3185
2008;2;36 tm 40;8332;169484289;5611
2008;2;41 tm 45;6489;160537203;8047
2008;2;46 tm 50;6336;115861910;4062
2008;2;51 tm 55;6032;80136521;4979
2008;2;56 tm 60;1927;34877052;3522
2008;2;61 tot 65;340;5255359;1332
2008;3;15 tm 25;2396;14754913;877
2008;3;26 tm 30;5971;96059853;6676
2008;3;31 tm 35;10566;172944817;15804
2008;3;36 tm 40;10331;240179642;14827
2008;3;41 tm 45;9295;216524790;10317
2008;3;46 tm 50;11137;105413990;12050
2008;3;51 tm 55;8707;177640136;15099
2008;3;56 tm 60;4067;93104745;10087
2008;3;61 tot 65;954;9938381;457
2008;4;15 tm 25;1857;24237282;1185
2008;4;26 tm 30;4798;77619535;5527
2008;4;31 tm 35;8210;89192793;11866
2008;4;36 tm 40;12404;95495531;17530
2008;4;41 tm 45;8830;122894384;7380
2008;4;46 tm 50;5910;92177878;10762
2008;4;51 tm 55;5321;87876731;7398
2008;4;56 tm 60;3242;35297961;6250
2008;4;61 tot 65;392;5515152;1371
2008;5;15 tm 25;3516;26843897;3580
2008;5;26 tm 30;6785;89553809;8128
2008;5;31 tm 35;8119;167776081;20071
2008;5;36 tm 40;10281;174001033;14842
2008;5;41 tm 45;7408;77076972;10081
2008;5;46 tm 50;6780;78726032;10453
2008;5;51 tm 55;5353;85026339;9875
2008;5;56 tm 60;2379;39899403;4335
2008;5;61 tot 65;527;3087200;1140
2008;6;15 tm 25;1022;24345837;948
2008;6;26 tm 30;4744;59197120;3027
2008;6;31 tm 35;11734;139414452;9531
2008;6;36 tm 40;13782;143446287;10481
2008;6;41 tm 45;11845;143350693;12558
2008;6;46 tm 50;12442;165657614;8732
2008;6;51 tm 55;11855;108985800;12167
2008;6;56 tm 60;7227;73337221;12249
2008;6;61 tot 65;1571;10184072;1396
2009;1;15 tm 25;364;3470427;0
2009;1;26 tm 30;2069;30022900;816
2009;1;31 tm 35;4782;75123261;2415
2009;1;36 tm 40;5460;171825505;2875
2009;1;41 tm 45;5715;117399494;3112
2009;1;46 tm 50;4077;130801504;3438
2009;1;51 tm 55;4403;102633035;4686
2009;1;56 tm 60;1370;40434744;3093
2009;1;61 tot 65;260;7820689;245
2009;2;15 tm 25;575;6041491;335
2009;2;26 tm 30;2082;38051629;1193
2009;2;31 tm 35;7309;87383461;3386
2009;2;36 tm 40;6603;115348243;4325
2009;2;41 tm 45;4654;85446311;6956
2009;2;46 tm 50;5407;100017525;7694
2009;2;51 tm 55;4647;79746170;5460
2009;2;56 tm 60;3182;36721356;5898
2009;2;61 tot 65;460;6778437;792
2009;3;15 tm 25;3400;30378156;1231
2009;3;26 tm 30;9122;106821639;5809
2009;3;31 tm 35;18657;256784820;14568
2009;3;36 tm 40;17275;229607760;19493
2009;3;41 tm 45;13834;313730709;19768
2009;3;46 tm 50;12946;207191999;28285
2009;3;51 tm 55;9135;170993181;18401
2009;3;56 tm 60;6064;117796506;17785
2009;3;61 tot 65;1106;15308542;1727
2009;4;15 tm 25;1600;17370331;1069
2009;4;26 tm 30;4931;81046289;3192
2009;4;31 tm 35;7133;161564439;8058
2009;4;36 tm 40;8309;164586758;11620
2009;4;41 tm 45;5972;144943345;13954
2009;4;46 tm 50;5850;83542248;10081
2009;4;51 tm 55;3903;65947384;11529
2009;4;56 tm 60;3189;31637105;4881
2009;4;61 tot 65;460;3826368;254
2009;5;15 tm 25;2076;25818258;1652
2009;5;26 tm 30;6374;61335373;7933
2009;5;31 tm 35;10693;100007989;14696
2009;5;36 tm 40;9139;145483916;16142
2009;5;41 tm 45;8237;124702595;10084
2009;5;46 tm 50;4567;78296983;8656
2009;5;51 tm 55;4699;73208172;9446
2009;5;56 tm 60;2078;31994894;5872
2009;5;61 tot 65;352;3393640;550
2009;6;15 tm 25;1075;9356300;337
2009;6;26 tm 30;3146;56749420;2553
2009;6;31 tm 35;10858;104191782;9323
2009;6;36 tm 40;13488;111232567;9093
2009;6;41 tm 45;12534;180286564;9673
2009;6;46 tm 50;6904;142134336;5397
2009;6;51 tm 55;8455;77768589;7492
2009;6;56 tm 60;3463;60480639;8560
2009;6;61 tot 65;525;8441292;536
2010;1;15 tm 25;315;3859191;0
2010;1;26 tm 30;1788;29472597;1354
2010;1;31 tm 35;4797;149115220;2486
2010;1;36 tm 40;7481;242015857;4251
2010;1;41 tm 45;5973;243351151;5565
2010;1;46 tm 50;4812;214721918;4905
2010;1;51 tm 55;3238;186066896;4491
2010;1;56 tm 60;2498;59933583;2588
2010;1;61 tot 65;319;6370615;596
2010;2;15 tm 25;425;9137393;74
2010;2;26 tm 30;1888;42663045;1002
2010;2;31 tm 35;5708;132771820;4389
2010;2;36 tm 40;6192;148344939;4054
2010;2;41 tm 45;6697;103681292;4760
2010;2;46 tm 50;4607;141230606;8411
2010;2;51 tm 55;4202;123347081;3833
2010;2;56 tm 60;2248;55759061;2449
2010;2;61 tot 65;288;8066123;817
2010;3;15 tm 25;2215;42576156;584
2010;3;26 tm 30;8723;94935156;6359
2010;3;31 tm 35;15792;304587111;12883
2010;3;36 tm 40;13579;318197037;16504
2010;3;41 tm 45;18464;399242952;19052
2010;3;46 tm 50;14798;260611675;23800
2010;3;51 tm 55;12926;182986790;19575
2010;3;56 tm 60;6518;102199156;14168
2010;3;61 tot 65;956;14459543;388
2010;4;15 tm 25;1875;27349384;582
2010;4;26 tm 30;4449;88726639;5380
2010;4;31 tm 35;8161;143389687;9255
2010;4;36 tm 40;12578;209258102;12145
2010;4;41 tm 45;9451;209049274;9525
2010;4;46 tm 50;5286;152953912;13684
2010;4;51 tm 55;3772;95664917;8937
2010;4;56 tm 60;2668;45032552;7568
2010;4;61 tot 65;480;7708500;218
2010;5;15 tm 25;2181;20896375;1819
2010;5;26 tm 30;5720;91771011;6015
2010;5;31 tm 35;10410;116720371;15540
2010;5;36 tm 40;6666;141502856;13340
2010;5;41 tm 45;5452;106898287;11064
2010;5;46 tm 50;4886;72594296;7404
2010;5;51 tm 55;4748;78311901;8573
2010;5;56 tm 60;3420;39899661;5615
2010;5;61 tot 65;511;5407685;747
2010;6;15 tm 25;951;9876850;189
2010;6;26 tm 30;3355;50441367;1343
2010;6;31 tm 35;9724;94883939;8332
2010;6;36 tm 40;11494;199452674;7265
2010;6;41 tm 45;11931;147816176;9851
2010;6;46 tm 50;6318;97643168;8320
2010;6;51 tm 55;4967;88314705;11600
2010;6;56 tm 60;3579;53591762;6422
2010;6;61 tot 65;562;5104623;370
2011;1;15 tm 25;344;7835627;0
2011;1;26 tm 30;1749;52648050;358
2011;1;31 tm 35;5204;104081262;3058
2011;1;36 tm 40;5712;272112276;2691
2011;1;41 tm 45;7917;240999333;4765
2011;1;46 tm 50;7793;271081775;3364
2011;1;51 tm 55;5662;157004405;3980
2011;1;56 tm 60;2306;67941064;2003
2011;1;61 tot 65;330;7749835;333
2011;2;15 tm 25;597;8401485;394
2011;2;26 tm 30;2730;41738149;1272
2011;2;31 tm 35;4673;92984418;3302
2011;2;36 tm 40;5909;193029797;3789
2011;2;41 tm 45;5698;202517941;7713
2011;2;46 tm 50;6769;198380963;6814
2011;2;51 tm 55;5427;117437588;5823
2011;2;56 tm 60;2703;88879204;5762
2011;2;61 tot 65;382;8148718;358
2011;3;15 tm 25;2017;47553313;429
2011;3;26 tm 30;6098;146718937;4611
2011;3;31 tm 35;16522;252204505;11526
2011;3;36 tm 40;16016;430136529;12628
2011;3;41 tm 45;18402;478824487;15700
2011;3;46 tm 50;15726;348597424;28526
2011;3;51 tm 55;10855;303779543;22072
2011;3;56 tm 60;7377;168157592;11995
2011;3;61 tot 65;1297;16339011;657
2011;4;15 tm 25;2234;44792625;2198
2011;4;26 tm 30;5202;118576832;4939
2011;4;31 tm 35;6491;194538673;8349
2011;4;36 tm 40;11696;175864361;9469
2011;4;41 tm 45;11924;193741435;13580
2011;4;46 tm 50;9362;177970266;11793
2011;4;51 tm 55;4739;130928891;8100
2011;4;56 tm 60;3796;75920472;9348
2011;4;61 tot 65;631;8544257;1444
2011;5;15 tm 25;1894;25793706;801
2011;5;26 tm 30;5429;78438164;6869
2011;5;31 tm 35;6746;123880892;12339
2011;5;36 tm 40;10048;175663925;11849
2011;5;41 tm 45;5827;195992515;8833
2011;5;46 tm 50;4586;144048821;9687
2011;5;51 tm 55;4981;112027155;9430
2011;5;56 tm 60;3115;60422595;9376
2011;5;61 tot 65;398;6352015;652
2011;6;15 tm 25;532;5828288;206
2011;6;26 tm 30;2380;48908603;1223
2011;6;31 tm 35;6391;127703746;3939
2011;6;36 tm 40;8707;202288873;5690
2011;6;41 tm 45;10535;219541296;9340
